;;;;;;;;;;;;;;;;;;;
;;;Summary table - facility locations;;;;;;;;;;;;;;;;
Companies;State;;State/Province;Count;Percent;;;;;;;;;;;;;;
Polyhistor International;FL;;;;;;;;;;;;;;;;;;
Ponoko Inc.;CA;;;;;;;;;;;;;;;;;;
PPG;PA;;;;;;;;;;;;;;;;;;
Precision ADM;MB;;;;;;;;;;;;;;;;;;
Prg Prototyping;KS;;;;;;;;;;;;;;;;;;
Primary Manufacturing;SD;;;;;;;;;;;;;;;;;;
Printed Solid (acquired by Prusa);DE;;;;;;;;;;;;;;;;;;
Printerior;MO;;;;;;;;;;;;;;;;;;
Proto 3000;ON;;;;;;;;;;;;;;;;;;
Proto Cafe;CA;;;;;;;;;;;;;;;;;;
ProtoCAM;PA;;;;;;;;;;;;;;;;;;
Protolabs;NC;;;;;;;;;;;;;;;;;;
Prototek - Midwest Prototyping;NH;;;;;;;;;;;;;;;;;;
Prototek Holdings;NH;;;;;;;;;;;;;;;;;;
Prototyp3;TN;;;;;;;;;;;;;;;;;;
Prozix;CA;;;;;;;;;;;;;;;;;;
Purple Porcupine;CA;;;;;;;;;;;;;;;;;;
Quadrus Corporation;AL;;;;;;;;;;;;;;;;;;
Quaker City Castings;OH;;;;;;;;;;;;;;;;;;
Quickparts;WA;;;;;;;;;;;;;;;;;;
R&D Technologies, Inc.;RI;;;;;;;;;;;;;;;;;;
Rapid Prototyping Services;FL;;;;;;;;;;;;;;;;;;
RapidMade;OR;;;;;;;;;;;;;;;;;;
Realize, Inc.;OR;;;;;;;;;;;;;;;;;;
RP+M (rapid prototype + manufacturing llc);OH;;;;;;;;;;;;;;;;;;
Samcraft;TN;;;;;;;;;;;;;;;;;;
Shop 3D;BC;;;;;;;;;;;;;;;;;;
SICAM;NJ;;;;;;;;;;;;;;;;;;
Sintavia, LLC;FL;;;;;;;;;;;;;;;;;;
Skuld;OH;;;;;;;;;;;;;;;;;;
Solaxis Ingenious Manufacturing;QC;;;;;;;;;;;;;;;;;;
Solidiform;TX;;;;;;;;;;;;;;;;;;
Superior Joining Technologies, Inc.;IL;;;;;;;;;;;;;;;;;;
Sybridge;AL, CA, FL, IL, MA, MI, PA, TN, ON, ON, ON, ON, ON;;;;;;;;;;;;;;;;;;
Tangible Creative;NJ;;;;;;;;;;;;;;;;;;
Tangible solutions;OH;;;;;;;;;;;;;;;;;;
Tempus 3D;BC;;;;;;;;;;;;;;;;;;
The 3D Printing Store;CO, TX;;;;;;;;;;;;;;;;;;
The Lubrizol Corporation;OH;;;;;;;;;;;;;;;;;;
The Technology House;OH;;;;;;;;;;;;;;;;;;
Thingergy;CA;;;;;;;;;;;;;;;;;;
Tooling & Equipment International – TEI (part of General Motors);MI;;;;;;;;;;;;;;;;;;
TriMech;CT;;;;;;;;;;;;;;;;;;
TriTech Titanium Parts;MI;;;;;;;;;;;;;;;;;;
Troadey Inc.;QC;;;;;;;;;;;;;;;;;;
Tronix3D (Agile Additive);PA;;;;;;;;;;;;;;;;;;
Ultimate 3D;OR;;;;;;;;;;;;;;;;;;
Upsurge;BC;;;;;;;;;;;;;;;;;;
UPTIVE;MI;;;;;;;;;;;;;;;;;;
Valiant Products;FL;;;;;;;;;;;;;;;;;;
Vismed 3d;IL;;;;;;;;;;;;;;;;;;
Voodoo Manufacturing;NY;;;;;;;;;;;;;;;;;;
Voxel Magic;NY;;;;;;;;;;;;;;;;;;
Wall Colmonoy;MI;;;;;;;;;;;;;;;;;;
WhiteClouds;UT;;;;;;;;;;;;;;;;;;
Xcentric Mold & Engineering (Quickparts);MI;;;;;;;;;;;;;;;;;;
Xometry;MD;;;;;;;;;;;;;;;;;;
Zager 3D Printing;GA;;;;;;;;;;;;;;;;;;
Zeda Technologies;OH;;;;;;;;;;;;;;;;;;
Zip Bit;CA;;;;;;;;;;;;;;;;;;
