;Company;Printer manufacturer;Printer model;Process;Material;Number of printers;Count type;Country;State / province;Website
;Additive Manufacturing LLC;EOS;;PBF-LB;Polymer;1;Minimum;United States;NV;https://additivemanufacturingllc.com
;Additive Plus;;;MEX;Polymer;1;Minimum;United States;CA;https://additiveplus.com
;Additive Plus;;;PBF-LB;Polymer;1;Minimum;United States;CA;https://additiveplus.com
;Additive Plus;;;VPP;Polymer;1;Minimum;United States;CA;https://additiveplus.com
;Additive Plus;;;PBF-LB;Metal;1;Minimum;United States;CA;https://additiveplus.com
;ADDMAN;EOS;M100;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M270;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M290;PBF-LB;Metal;5;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M400-1;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M400-4;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;GE Additive;Concept Laser M2;PBF-LB;Metal;3;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Velo3D;Sapphire;PBF-LB;Metal;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Velo3D;Sapphire XC;PBF-LB;Metal;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Additive Industries;Metal Fab1;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Prox 320;PBF-LB;Metal;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Titan;Atlas 2.5;MEX;Polymer;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;BCN3D;W27;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Creatbot;F430;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Anet;A8;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Creality;Ender 5 Plus;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Fusion3;F410;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Aon3D;M2+;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Fuse1;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 3;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 3L;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 2;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Phrozen;Transform;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;NEO 800;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Axtra3d;Lumia X1;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;NEO 450;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Prox 800;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;SLA-5000;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;SLA-7000;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Viper;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;F370;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;360;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;400;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;F900;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3ntr;A2;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3ntr;A4;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;J850DAP;MJT;Polymer;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Carbon 3D;M2;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Carbon 3D;M3;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Carbon 3D;L1;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;3BL;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Origin;One;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;HP;4210;PBF-IR;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;HP;5210;PBF-IR;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;400mc;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;450mc;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Markforged;Mark Two;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Roboze;Argo 500;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 2;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Nexa3D;XiP;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Projet 6000HD;MJT;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;Objet 260 Connex 2;MJT;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Markforged;Mark Two;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Anycubic;Mega X;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Anycubic;Photon Mono x;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;Advanced 3D;HP;Jet Fusion 4210;PBF-IR;Polymer;1;Minimum;United states;NC;https://advanc3dinc.com/
;Advanced 3D;HP;Jet Fusion 580;PBF-IR;Polymer;1;Minimum;United states;NC;https://advanc3dinc.com/
;Advanced Additive Innovations Inc.;;;VPP;Polymer;10;Minimum;United States;NC;https://advancedadditiveinnovations.com
;Advanced Additive Innovations Inc.;;;MEX;Polymer;3;Minimum;United States;NC;https://advancedadditiveinnovations.com
;AdvancedTek;;;MEX;;9;Minimum;United States;MN;https://advancedtek.com
;AdvancedTek;;;MJT;;2;Minimum;United States;MN;https://advancedtek.com
;AdvancedTek;;;PBF-IR;;1;Minimum;United States;MN;https://advancedtek.com
;AdvancedTek;;;VPP;;2;Minimum;United States;MN;https://advancedtek.com
;Advantage Prototype Systems;;;VPP;Polymer;5;Minimum;United States;WI;https://www.aps3d.com/
;Advantage Prototype Systems;;;MEX;Polymer;4;Minimum;United States;WI;https://www.aps3d.com/
;Advantage Prototype Systems;;;MEX;Polymer;2;Minimum;United States;WI;https://www.aps3d.com/
;Aerodine Composites Group;Stratasys;Fortus 400mc;MEX;Polymer;1;Minimum;United States;IN;https://aerodinecomposites.com
;AES – Additive Engineering Solutions;Cincinnati;;MEX;Polymer;1;Minimum;United States;OH;https://additiveeng.com
;AES – Additive Engineering Solutions;CEAD;;MEX;Polymer;1;Minimum;United States;OH;https://additiveeng.com
;Agile Manufacturing;;;VPP;Polymer;9;Minimum;Canada;ON;https://agile-manufacturing.com
;Agile Space Industries – Agile Additive;Trumpf;TruPrint 1000;PBF-LB;Metal;2;Actual;United States;CO;https://agilespaceindustries.com
;Agile Space Industries – Agile Additive;Trumpf;TruPrint 2000;PBF-LB;Metal;2;Actual;United States;CO;https://agilespaceindustries.com
;Agile Space Industries – Agile Additive;Trumpf;TruPrint 5000;PBF-LB;Metal;1;Actual;United States;CO;https://agilespaceindustries.com
;Alaska 3D Printing;;;MEX;Polymer;1;Minimum;United States;AK;https://alaska3dprint.com
;Alpha Additive Manufacturing Technologies;Intamsys;;MEX;Polymer;1;Minimum;United States;MA;https://alphaamt.com
;American Additive Manufacturing;;;MEX;;6;Minimum;United States;PA;https://americanadditive.com
;American Cladding;;;pDED-LB;Metal;1;Minimum;United States;CT;https://americancladding.com
;AMfg Labs;;;BJT;Metal;9;Actual;United States;OH;https://amfglabs.com/
;AmPd Labs;;;BJT;Metal;1;Minimum;United States;TX;https://ampdlabs.llc
;AmPd Labs;;;PBF-LB;Polymer;1;Minimum;United States;TX;https://ampdlabs.llc
;AmPd Labs;;;VPP;Polymer;1;Minimum;United States;TX;https://ampdlabs.llc
;Applied Rapid Technologies;;;VPP;Polymer;13;Minimum;United States;VA;https://artcorp.com/
;ARCH Additive;;;PBF-EB;Metal;3;Minimum;United States;MI;https://arch-medical.com
;Archematerial;;;PBF-EB;Metal;1;Minimum;United States;VA;https://arch-medical.com
;Archematerial;;;PBF-LB;Metal;1;Minimum;United States;VA;https://arch-medical.com
;Areion3D;;;VPP;Polymer;1;Minimum;United States;PA;https://areion3d.com
;Aristo Cast;3D Systems;Pro Jet 2500 IC;MJT;Polymer;4;Actual;United States;MI;https://aristo-cast.com/
;Aristo Cast;Voxeljet;VX1000;BJT;Sand;1;Actual;United States;MI;https://aristo-cast.com/
;Aristo Cast;Admatec;ADMAFLEX 300;VPP;Ceramic;2;Actual;United States;MI;https://aristo-cast.com/
;Aristo Cast;3D Systems;Thermojet;MJT;Wax;2;Actual;United States;MI;https://aristo-cast.com/
;Aristo Cast;Stratasys;F370;MEX;Polymer;1;Actual;United States;MI;https://aristo-cast.com/
;Aristo Cast;3D Systems;FabPro 1000;VPP;Wax;1;Actual;United States;MI;https://aristo-cast.com/
;Armadillo Additive;;;;;1;Minimum;United States;TX;https://armadilloadditive.com
;Armstrong RM;;;;;1;Minimum;United States;NY;https://armstrongmold.com
;ARRK North America;;;PBF-LB;Polymer;8;Minimum;United States;CA;https://www.arrk.com/
;ARRK North America;;;VPP;Polymer;9;Minimum;United States;CA;https://www.arrk.com/
;ARRK North America;;;MEX;;1;Minimum;United States;CA;https://www.arrk.com/
;ART – Applied Rapid Technologies;;;VPP;Polymer;1;Minimum;United States;VA;https://artcorp.com
;ART – Applied Rapid Technologies;;;MEX;Polymer;1;Minimum;United States;VA;https://artcorp.com
;ART – Applied Rapid Technologies;;;PBF-LB;Metal;1;Minimum;United States;VA;https://artcorp.com
;ART – Applied Rapid Technologies;;;PBF-LB;Polymer;1;Minimum;United States;VA;https://artcorp.com
;ART – Applied Rapid Technologies;HP;;PBF-IR;Polymer;1;Minimum;United States;VA;https://artcorp.com
;Ashland Foundry and Machine Works, LLC;;;BJT;Sand;1;Minimum;United States;PA;https://ashlandfoundrymachineworks.com
;ATI Specialty Materials (Allegheny Technologies Incorporated);Nikon SLM;600E;PBF-LB;Metal;1;Minimum;United States;FL;https://atimetals.com
;Aurora Quickturn;Concept Laser;;PBF-LB;Metal;1;Minimum;United States;GA;https://auroraqt.com
;Autotiv Manufacturing Corporation (Autotiv MFG);;;PBF-LB;Polymer;1;Minimum;United States;NH;https://www.autotiv.com/
;Autotiv Manufacturing Corporation (Autotiv MFG);;;MEX;Polymer;50;Minimum;United States;NH;https://www.autotiv.com/
;Auxetic;HP;;;;1;Minimum;United States;NY;https://auxetic.co
;Avid Product Development ;;;VPP;Polymer;1;Minimum;United States;CO;https://avid3dprinting.com
;Avid Product Development ;;;MEX;Polymer;1;Minimum;United States;CO;https://avid3dprinting.com
;Avid Product Development ;;;PBF-IR;Polymer;1;Minimum;United States;CO;https://avid3dprinting.com
;Axis Prototypes Inc.;Viper;Si2;VPP;Polymer;1;Actual;Canada;QC;https://axisproto.com
;Axis Prototypes Inc.;;;VPP;Polymer;5;Actual;Canada;QC;https://axisproto.com
;Axis Prototypes Inc.;;;PBF-LB;Polymer;3;Actual;Canada;QC;https://axisproto.com
;Axis Prototypes Inc.;EOS;M270;PBF-LB;Metal;1;Actual;Canada;QC;https://axisproto.com
;Axis Prototypes Inc.;;;MEX;Polymer;1;Minimum;Canada;QC;https://axisproto.com
;Axis Prototypes Inc.;Objet;Connex 500;MJT;Polymer;1;Actual;Canada;QC;https://axisproto.com
;Azoth 3D;;;BJT;Metal;1;Minimum;United States;MI;https://azoth3d.com
;Azoth 3D;Rize;;MEX;Polymer;1;Minimum;United States;MI;https://azoth3d.com
