Company name,Website,Headquarters,Owned by / Subsidiary of,Public stock,Number of employees
3D Republika,https://3drepublika.com,Serbia,,,
3D Research,https://3dresearch.it,Italy,,,
3D Robotics,https://3drobotics.com,United States,,,
3D Room Made,,,,,
"3D Scan IT, Inc.",https://3dscanit.com,,,,
3D Schilling,https://3d-schilling.de,Germany,,,
3D SculpLab,https://3dsculplab.xyz,India,,,
3D Shape Engineering,https://3dshapeengineering.com,,,,
3D Shark,https://3dshark.si,Slovenia,,,
3D Shoes,https://3dshoes.com,United States,,,
3D Simulations,https://3dsimulationsinc.com,United States,,,
3D SLASH,https://3dslash.net,France,,,
3D Smart Solutions,https://3d-smartsolutions.com,Vietnam,,,
3D Solutions,https://3dsolutions.ca,Canada,,,
3D Solutions (Solusi 3D),https://solusi3d.co.id,indonesia,,,
3D Solutions Brauer Group – Bräuer Schweisstechnik,https://3d-solution.tech,Germany,,,
"3D Solutions, Inc",https://3dsolutionsinc.com,United States,,,
3D Spark GmbH,https://3dspark.de,Germany,,,
3D Spectra Tech,https://3dspectratech.com,India,,,
3D Store Catania,https://www.3dstorecatania.it,Italy,,,
3D Supply Source,https://3dsupplysource.com,United States,,,
3d surgical (MySegmenter Technologies Inc.),https://www.3dsurgical.com/,United States,,,
3D Systems Inc.,https://3dsystems.com,United States,,NYSE: DDD,
3D Technology Limited,https://3dtechnology.ie,Ireland,,,
3D Technology SA,https://www.3d-technology.ch/,Switzerland,,,
3D Today,https://3dtoday.ru,Russia,,,
3D Universal,https://3duniversal.eu,Poland,,,
3D Universe,https://shop3duniverse.com,United States,,,
3D Vector,https://3dvector.com,Canada,,,
3D Works,https://3dworks.cl,Chile,,,
3D-Bottech,https://3d-bottech.com,Canada,,,
3D-CAM,https://3d-cam.com,United states,,,
3D-Components,https://3d-components.co,Norway,,,
3D-Dream,https://3d-dream.it,Italy,,,
3D-EDU,https://3d-edu.ch,Switzerland,,,
3D-Figo Gmbh,https://3d-figo.de,Germany,,,
3D-Hybrid,https://3dhybridsolutions.com,United States,,,
3D-Laserdruck,https://3d-laserdruck.de,Germany,,,
3D-Micromac AG,https://3d-micromac.com,Germany,,,
3d-Printer Machine,https://3d-printermachine.com,India,,,
3D-Printerstore.ch,https://3d-printerstore.ch,Switzerland,,,
3D-Printing Solutions,https://3d-printingsolutions.com,Germany,,,
3d-prototyp.com,https://3d-prototyp.com,Switzerland,,,
3D-Scandruck,https://3d-scandruck.de,Germany,,,
3D-TEC,https://3dtec-ek.de,Germany,,,
3D-WERK Black Forest GmbH,https://3d-werk.info,Germany,,,
3D.RU,https://3d.ru,Russia,,,
3D@UniPV,https://www-4.unipv.it3d,Italy,,,
3D2GO Philippines,https://3d2go.com.ph,Philippines,,,
3D2Print.net,https://3d2print.net,Denmark,,,
3D3 Dental,https://3d3dental.com,Singapore,,,
3D4Makers,https://3d4makers.com,The Netherlands,,,
3D4MEC,https://3d4mec.com,Italy,,,
3D7 3D-Drucksysteme Deutschland,https://3d7.de,Germany,,,
3Dator GmbH,https://3dator.com,Germany,,,
3dBZH,https://3dbzh.com/en,France,,,
3DCeram Sinto,https://3dceram.com/en,France,,,
3DCeram-TIWARI,https://tiwari-instruments.com,Germany,,,
3DCP Group,,Denmark,,,
3DCPI-PRODYSOL,https://3dcpi.com,Spain,,,
3DDC,https://3ddc.eu,The United Kingdom,,,
3DE-SHOP,https://3de-shop.com,Malta,,,
3Dealise,https://3dealise.com,The Netherlands,,,
3Dee NV,https://3dee.be,Belgium,,,
3Dee.at,https://3dee.at,Austria,,,
3Dees Industries,https://3dees.cz/en,The Czech Republic,,,
3DEIMENTION,https://3deimention.co.il,Israel,,,
3DEO,https://3deo.co,United States,,,
3Deometry Innovations LLP,https://3deometry.com,India,,,
3Design Ltd.,https://3dinnovation.co.nz,New Zealand,,,
3Design Software Solution,https://3design.com/en,France,,,
3Deus Dynamics,https://3deusdynamics.com,France,,,
3devo B.V.,https://3devo.com,The Netherlands,,,
3DF Limited,https://3df.com.hk,China,,,
3dfactory,https://store.makea3dfactory.com,United States,,,
3DFAST,https://3dfast.ir,Iran,,,
3DFortify Inc.,https://3dfortify.com,United States,,,
3DGence,https://3dgence.com,Poland,,,
3DGuru,https://myzortrax.com,South Korea,,,
3DHub,https://3dhub.by,Belarus,,,
3DHUB Greece,https://3dhub.gr,Greece,,,
3Ding,https://3ding.in,India,,,
3DInside,,,,,
3Dinthebox,https://3dinthebox.eu,Belgium,,,
3Dinx,https://3dinx.com,Germany,,,
3Dit,https://3dit.net/,Saudi Arabia,,,
3DiTALY (Aspramente Studio s.r.l.s.),https://3ditaly.it,Italy,,,
3Djake GmbH,https://3djake.com,Austria,,,
3DKG,https://3dkg.eu/en/granulab.html,Italy,,,
3DKreator,https://3dkreator.com,Poland,,,
3DLab,,,,,
3DLAC - LABORATORIOS 3D,https://www.3dlac.com,Spain,,,
3DLMS,https://3dlms.com,Switzerland,,,
3DM Digital Manufacturing Ltd,https://3dm-tech.co.il,Israel,Solrom Holdings Ltd,TLV: SLRM,
3DM Surface Finishing,https://3dmsurfacefinishing.com,Australia,,,
3DMAGINE,https://3dmagine.com,United States,,,
3DMakerpro | Shenzhen Jimyida Technology,https://store.3dmakerpro.com,China,,,
3DMakerWorld Services,https://3dmakerworld.com,United States,,,
3DMan,https://3dman.ca,Canada,,,
3DMart Ltd.,https://3dmart.com.hk,China,,,
3DMEK,https://3dmek.com.au,Australia,,,
3Dmensionals - PONTIALIS GmbH & Co. KG,https://3dmensionals.de,Germany,,,
3DMTP,https://3dmtp.com,United States,,,
3DnA Srl,https://3dnasrl.it,Italy,,,
3DNet,https://3dnet.no,Norway,,,
3DOLOGiE,https://3dologie.com,United States,,,
3Dom Filaments,https://3domfilaments.com,Ireland,,,
3Dome,https://3dome.net,Canada,,,
3DOP,https://brainporteindhoven.com/nl/ondernemen-en-innoveren/technologieen/additive-manufacturing/3dop,The Netherlands,,,
3DOrchard,https://3dorchard.com,United States,,,
3DOS,https://3dos.io,United States,,,
3DP World,https://3dpworld.it,Italy,,,
3DPandoras,https://3dpandoras.com,Taiwan,,,
3DPD (3D Product Development Pvt. Ltd.),https://3dpd.net,India,,,
3DPrint Solutions,https://3dprint-solutions.nl,The Netherlands,,,
3DPrint.com,https://3dprint.com,United States,,,
3dPrintDirect.co.uk,,,,,
3DPrinterGear,https://3dprintergear.com.au,Australia,,,
3DPrinterOS,https://3dprinteros.com,United States,,,
3DPRINTERS.COM.SG,https://3dprinters.com.sg,Singapore,,,
3Dprintler,https://3dprintler.com,Canada,,,
3DPRINTUK (Solid Print/Tri-Tech),https://3dprint-uk.co.uk,The United Kingdom,,,
3DPrintus,https://3dprintus.ru,Russia,,,
3DPrintWorks,,,,,
3DPRN,https://www.3dprn.com/?lang=en,Italy,,,
3DQue,https://3dque.com,Canada,,,
3DRap,https://3drap.it,Italy,,,
3dRapidParts.com,https://3drapidparts.com,,,,
3Dresyns,https://3dresyns.com,Spain,,,
3Dreveng,https://3dre.ca,Canada,,,
3DSHQ,https://www.3dshq.com/,United States,,,
3DSIM,https://3dsim.com,United States,,,
3DSL,https://3dsl.com.au,Australia,,,
3DSLA.RU,https://3dsla.ru,Russia,,,
3DStep Oy,https://3dstep.fi,Finland,,,
3DStore.dk,https://3DStore.dk,Denmark,,,
3DSTUFFSNL,https://3dstuffs.nl,The Netherlands,,,
3DTech,https://3dtech.fi,Finland,,,
3DTIV Tech,https://3dtiv.com,United Arab Emirates,,,
3DTRUST SAS,https://3dtrust.de,Germany,,,
3DTY - 3D printing collaboration project - Finland,https://3dty.fi,Finland,,,
3DV Corporation,https://3dv.com,United States,,,
3DVerkstan (Solid Print),https://3dverkstan.com,Sweden,,,
3DVinci Creations,https://3dvincicreations.com,United Arab Emirates,,,
3DVision Technologies,https://3dvision.com,United States,,,
3Dvisual,https://3dvisual.es,Spain,,,
3dWalla,https://3dwalla.com,India,,,
3DWare,https://3dware.ch,Switzerland,,,
3Dwiser,https://3dwiser.com,The Czech Republic,,,
3DWP,https://3dwp.nl,The Netherlands,,,
3DX Industries,https://3dxindustries.com,United States,,,
3DXB Group,https://3dxb-group.com,United Arab Emirates,,,
3Dxtd Additive Manufacturing Solutions,,Belgium,,,
3DXTECH,,United States,,,
3DZ S.P.A.,https://3dz.it,Italy,,,
3eco,https://3-eco.com,Italy,,,
3ERP,https://3erp.com,China,,,
3Faktur GmbH,https://3faktur.com/en,Germany,,,
3HTi,https://3hti.com,United States,,,
3iD,https://3idprinting.be/en/,Belgium,,,
3idea,https://3idea.in,India,,,
3ntr,https://3ntr.eu,Italy,,,
3PI Tech Solutions,https://3pitech.com,United States,,,
3Q MACHINING,https://3qmachining.com,China,,,
3R Systems s.r.o.,https://3rsystems.cz,The Czech Republic,,,
