Company name,Segment,Printer manufacturer,Printer model,Number of printers,Count type,Process,Material type,Material format,Country,Update year
Additive Manufacturing LLC,Printing services,HP,,1,Minimum,PBF-IR,Metal,,United States,2025
Additive Manufacturing LLC,Printing services,3D Systems,,1,Minimum,VPP,Polymer,,United States,2025
Additive Manufacturing LLC,Printing services,EOS,,1,Minimum,PBF-LB,Polymer,,United States,2025
Additive Plus,Printing services,Bambu Lab,X1E,1,Minimum,MEX,Polymer,,United States,2025
Additive Plus,Printing services,Kings3D,1000,1,Minimum,MEX,Polymer,,United States,2025
Additive Plus,Printing services,Kings3D,P440,1,Minimum,PBF-LB,Polymer,,United States,2025
Additive Plus,Printing services,Kings3D,800Pro,1,Minimum,VPP,Polymer,,United States,2025
Additive Plus,Printing services,Kings3D,FGF1800,1,Minimum,MEX,Polymer,,United States,2025
Additive Plus,Printing services,AO Metal,A100,1,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,EOS,M100,1,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,EOS,M270,1,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,EOS,M290,5,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,EOS,M400-1,1,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,EOS,M400-4,1,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,GE Additive,Concept Laser M2,3,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,Velo3D,Sapphire,2,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,Velo3D,Sapphire XC,2,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,Additive Industries,Metal Fab1,1,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,3D Systems,Prox 320,2,Minimum,PBF-LB,Metal,,United States,2025
ADDMAN,Printing services,Titan,Atlas 2.5,2,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,BCN3D,W27,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Creatbot,F430,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Anet,A8,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Creality,Ender 5 Plus,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Fusion3,F410,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Aon3D,M2+,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Formlabs,Fuse1,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Formlabs,Form 3,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Formlabs,Form 3L,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Formlabs,Form 2,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Phrozen,Transform,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,NEO 800,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Axtra3d,Lumia X1,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,NEO 450,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,3D Systems,Prox 800,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,3D Systems,SLA-5000,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,3D Systems,SLA-7000,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,3D Systems,Viper,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,F370,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,360,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,400,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,F900,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,3ntr,A2,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,3ntr,A4,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,J850DAP,2,Minimum,MJT,Polymer,,United States,2025
ADDMAN,Printing services,Carbon 3D,M2,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Carbon 3D,M3,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Carbon 3D,L1,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Formlabs,3BL,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Origin,One,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,HP,4210,1,Minimum,PBF-IR,Polymer,,United States,2025
ADDMAN,Printing services,HP,5210,1,Minimum,PBF-IR,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,400mc,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,450mc,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Markforged,Mark Two,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Roboze,Argo 500,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Formlabs,Form 2,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,Nexa3D,XiP,1,Minimum,VPP,Polymer,,United States,2025
ADDMAN,Printing services,3D Systems,Projet 6000HD,1,Minimum,MJT,Polymer,,United States,2025
ADDMAN,Printing services,Stratasys,Objet 260 Connex 2,1,Minimum,MJT,Polymer,,United States,2025
ADDMAN,Printing services,Markforged,Mark Two,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Anycubic,Mega X,1,Minimum,MEX,Polymer,,United States,2025
ADDMAN,Printing services,Anycubic,Photon Mono x,1,Minimum,VPP,Polymer,,United States,2025
Advanced 3D,Printing services,HP,Jet Fusion 4210,1,Minimum,PBF-IR,Polymer,,United States,2025
Advanced 3D,Printing services,HP,Jet Fusion 580,1,Minimum,PBF-IR,Polymer,,United States,2025
Advanced Additive Innovations Inc.,Printing services,Bambu Lab,,2,Actual,MEX,Polymer,,United States,2023
Advanced Additive Innovations Inc.,Printing services,Creality,,3,Actual,MEX,Polymer,,United States,2023
Advanced Additive Innovations Inc.,Printing services,Creality,,2,Actual,VPP,Polymer,,United States,2023
Advanced Additive Innovations Inc.,Printing services,Elegoo,,4,Actual,VPP,Polymer,,United States,2023
Advanced Additive Innovations Inc.,Printing services,Nexa3D,,1,Actual,VPP,,,United States,2023
Advanced Additive Innovations Inc.,Printing services,Phrozen,,5,Actual,VPP,,,United States,2023
AdvancedTek,Printing services,Stratasys,,9,Actual,MEX,,,United States,2023
AdvancedTek,Printing services,Stratasys,,2,Actual,MJT,,,United States,2023
AdvancedTek,Printing services,Stratasys,SAF H350,1,Actual,PBF-IR,,,United States,2023
AdvancedTek,Printing services,Stratasys,Origin P3,1,Actual,VPP,Polymer,,United States,2023
