Company name,Segment,Process,Material format,Material type,Country
Laseradd,System manufacturer,PBF-LB,powder,metal,China
3DLAM,System manufacturer,PBF-LB,powder,metal,Russia
Nanjing Chamlion Laser Technology Co,System manufacturer,PBF-LB,powder,metal,China
"Guangzhou Riton Additive Technology Co., Ltd",System manufacturer,PBF-LB,powder,metal,China
Daegun Tech,System manufacturer,PBF-LB,powder,metal,South Korea
"Raycham (Nanjing Zhongke Yue Laser Technology Co., Ltd.)",System manufacturer,PBF-LB,powder,metal,China
Zrapid Technologies,System manufacturer,PBF-LB,powder,metal,China
Laser Melting Innovations (LMI),System manufacturer,PBF-LB,powder,metal,Germany
3D Mectronic,System manufacturer,PBF-LB,powder,metal,Germany
Wuhan Huake 3D,System manufacturer,PBF-LB,powder,metal,China
Fonon Corporation,System manufacturer,PBF-LB,powder,metal,United States
Additive Solutions (AddSol),System manufacturer,PBF-LB,powder,metal,Russia
DMG Mori,System manufacturer,PBF-LB,powder,metal,Japan
Tytus3D,System manufacturer,PBF-LB,powder,metal,United States
Open Additive,System manufacturer,PBF-LB,powder,metal,United States
Sodick,System manufacturer,PBF-LB,powder,metal,Japan
Adira Addcreative,System manufacturer,PBF-LB,powder,metal,Portugal
Matsuura Machinery Corporation,System manufacturer,PBF-LB,powder,metal,Japan
"3D Controls Co.,Ltd.",System manufacturer,VPP,slurry,ceramic,South Korea
3D Paradise,System manufacturer,VPP,resin,polymer,India
3D Systems Inc.,System manufacturer,VPP,resin,polymer,United States
3DCeram Sinto,System manufacturer,VPP,slurry,ceramic,France
3DCPI-PRODYSOL,System manufacturer,VPP,resin,polymer,Spain
"Beijing JCZ Technology Co., Ltd. (Ezcad)",System manufacturer,VPP,resin,polymer,China
"Beijing Ten Dimensions Technology Co., Ltd.",System manufacturer,VPP,slurry,ceramic,China
"Beijing Ten Dimensions Technology Co., Ltd.",System manufacturer,VPP,paste,ceramic,China
Chimak,System manufacturer,VPP,resin,polymer,Argentina
